index,run,prompt
2,run_002,网球选手准备发球，力量十足地将球击出。画面聚焦在发球的瞬间，球飞越球网，落向对手场地。
7,run_007,高尔夫选手站在球场上，挥杆击球，高尔夫球飞向远处的目标，镜头跟随球的飞行。
12,run_012,展示厨师用大火炒菜的场景，食材有青菜、红椒、肉片等。特写炒勺翻炒时食材的色泽与油光，锅边飘出热气。慢镜头展示淋酱油或调味料的瞬间，最后定格在一道色香味俱全的成品热炒盘。
17,run_017,展示厨师在平底锅上烹制玉米饼，随后将切好的牛肉、鳄梨、番茄丁等食材放入饼中，慢镜头展示浇上酸奶酱的瞬间。最后是多个塔可摆在木盘上，配上墨西哥辣椒。
22,run_022,厨师切割土耳其烤肉，然后把肉片装盘。
27,run_027,镜头缓慢移动，展现陆家嘴天际线的壮丽景象，金茂大厦、上海中心大厦和东方明珠塔在晨曦或傍晚时分的余晖中熠熠生辉。黄浦江静静流淌，江上的船只缓缓驶过，镜头平稳推进，捕捉到城市与自然和谐交融的瞬间。
32,run_032,镜头从塞纳河的水面缓缓向前推移，河边的古老建筑和桥梁在镜头中逐渐展开，河上的游船悠闲地驶过。岸边的行人漫步，秋天的树叶在微风中轻轻摇曳，整条河流在日落余晖的映衬下显得宁静而浪漫。
37,run_037,一只鸟在郁郁葱葱的森林中自由飞翔，双翅展开穿梭在树枝之间。它停在一根树枝上，唱起动听的鸣叫声，树叶在微风中轻轻摇曳。
42,run_042,在开满鲜花的花园里，一只蝴蝶轻盈地飞舞，它在不同的花朵上翩翩起舞，最后停在一朵鲜艳的花瓣上，轻轻扇动着翅膀。
47,run_047,一位穿着圣诞装的小女孩在屋内装饰圣诞树，她将最后一个星星挂上顶端，然后笑着走向壁炉前的礼物堆，兴奋地拆开礼物，拿出一只红色毛绒玩具，紧紧抱住。
52,run_052,一对情侣在公园的长椅上坐着，男生从背后拿出一束红玫瑰，递给女生。女生惊喜地接过，随后两人一起开心地笑着，互相靠近。
57,run_057,划手们奋力划着龙舟，在江面上进行比赛。
62,run_062,一个宁静的房间里，音乐治疗师轻柔地弹奏钢琴，病患安静地坐在沙发上闭目冥想。音乐的旋律与人的心跳同步，灯光变得柔和，房间氛围逐渐呈现出放松与治愈的效果。
67,run_067,镜头从一片有机农田的土壤中慢慢升起，展示雨水收集系统和自然灌溉技术的应用，背景是远处的温室大棚。镜头平稳移动，展示农民通过智能手机控制灌溉和监测作物生长。
72,run_072,天空中漂浮着巨大、半透明的生物，像鲸鱼一样在云层中游动，它们的身影在地面上投下巨大的阴影，每一次呼吸都会改变天气和大气的状态。
77,run_077,闪电侠在城市的街道上以光速奔跑，地面在他脚下迅速模糊拉长，周围的世界仿佛停止了运动。他的每一次加速都伴随着闪电的迸发，建筑物和车辆在他的身边变成模糊的影子。
82,run_082,教室里，学生认真听讲，笔记本上快速写字，偶尔抬头看向黑板，微笑点头。阳光透过窗户洒进教室，环境宁静而专注。
87,run_087,工程师站在工地前，手持平板电脑查看设计图，偶尔转身指向正在建造的建筑，与同事讨论，表情认真而自信。
92,run_092,一栋居民楼着火了，一个消防员登上云梯把阳台上的小女孩抱了下来。
97,run_097,史瑞克坐在沼泽旁，手里拿着一只虫子，犹豫片刻后放入口中，脸上露出调皮的表情。他站起身，双手叉腰大笑，整个场景充满他的怪趣幽默感。
102,run_102,小黄人拿着一根香蕉，满脸喜悦。他快速剥开香蕉，准备吃时却不小心滑了一跤。随后他在地上翻滚，手舞足蹈，依然兴高采烈地咯咯笑着。
107,run_107,镜头在每个锻炼动作间快速切换。举重、跑步机上的汗水飞溅、快速的俯卧撑，交替出现的短促镜头让观众感受到强烈的节奏和能量。画面在锻炼器材、运动鞋特写和人物表情之间不断切换，强化了紧张感。（场景：健身房锻炼）
112,run_112,广场上的人群和交通快速流动，日落时天空的色彩从明亮到橙红再到深蓝。时间流逝，城市从白天进入夜晚，城市的灯光点亮，整个过程无缝连接，呈现出城市的活力。（场景：繁忙的城市广场）
117,run_117,一个充满高科技元素的未来城市，摩天大楼由金属和玻璃构成，充满了流线型设计。空中有无声的飞行汽车穿梭，地面上行人穿着简约的光滑服饰，街道上的广告屏幕播放着数字化的图像。画面颜色冷峻，带有金属光泽。
122,run_122,一条装饰着复杂花卉图案的走廊，人物穿梭于曲线优美的建筑中。每一步伴随着背景中精致的植物和自然图案的变化，动与静之间流畅地过渡，场景带有柔和而华丽的视觉效果。
127,run_127,一个邋遢的男人在一个超级无敌乱的屋子里吃泡面。
