index,run,prompt
3,run_003,"Time-lapse of sheep grazing in a green field, starting clustered on one side and gradually dispersing. As they continue to graze, the sheep spread out more evenly across the field, ending with an almost uniform distribution. The surrounding fencing, buildings, and trees remain unchanged throughout the video."
8,run_008,"Time-lapse of a moonlit beach scene over the course of a night. The sequence depicts the moon's movement and varying cloud cover, illuminating and dimming the beach. Human activity is minimal but gradually increases and then decreases, and tire tracks in the sand change slightly, indicating some activity. The beach eventually appears darker with fewer visible details as the sky becomes heavily clouded."
13,run_013,"Time-lapse of a high-rise building's construction, beginning with early crane activity and steel framing, progressing through various stages with increasing structural complexity, showing vertical and horizontal beam assembly, scaffolding, worker activity, and nearing completion of the steel framework."
18,run_018,"Time-lapse of a succulent-shaped candle burning over 42 minutes: starting intact with a stable flame, showing minor melting by the midpoint, progressively deforming and pooling wax at the base, and mostly melted by the end with only small remnants of the original shape visible."
23,run_023,"Time-lapse of cumulus clouds dispersing gradually across the sky, starting with dense cloud cover that thins out over time, revealing more blue sky, and ending with mostly clear skies and minimal cloud fragments."
28,run_028,"Time-lapse of a sunset transitioning into night: starting with the sun high in the sky, gradually descending and casting orange, pink, and purple hues as it nears and crosses the horizon, culminating in a dark sky with visible stars, indicating the onset of night."
33,run_033,"Time-lapse of an apple decomposing over 80 days: starting fresh and halved, showing slight dryness by Day 13, visible wrinkles and drying by Day 23, progression of decomposition with notable shrinkage by Day 42, advanced drying and structural breakdown by Day 52, heavily decomposed with deep wrinkling by Day 70, and almost completely dried and decomposed by Day 80."
38,run_038,"Time-lapse of a significant explosion showing the initial burst with intense light and smoke, expansion into a large fireball with visible flames and debris, reaching peak intensity with widespread flames, and gradually diminishing with reducing flames and lingering thick smoke."
43,run_043,"Time-lapse of a nighttime fireworks display around an illuminated skyscraper. The video transitions from a preparation stage with a brightly lit building to the initial launch of fireworks, culminating in vibrant fireworks lighting up the sky around the skyscraper."
48,run_048,"Time-lapse of a fruit tart rotting over time: starting fresh with intact fruits, initial signs of rotting visible as colors dull, progressing to mold growth and shriveling, and finally reaching advanced decomposition with fruits liquefied and heavily molded."
53,run_053,"Time-lapse of a glass beam breaking: starts intact, initial cracks appear on the left side, cracks propagate forming a complex web, small particles detach, significant shattering with dislodged pieces, almost completely broken into fragments, large segments break off, and finally the glass fully shatters into dispersed small particles."
58,run_058,"Time-lapse of ice cubes melting on a yellow plate: beginning as solid cubes, starting to melt with water glistening, significantly reduced ice size with pooling water, mostly melted with few pieces left, and fully melted with only water pooling at the end."
63,run_063,"Time-lapse of a sunset over a lake with distant mountains, starting with the sun high in the sky and bright reflections on the water. The sun gradually descends, intensifying the golden hue and reflections. As the sun nears the horizon, it creates long shimmering reflections on the lake, finally casting the last golden light before setting behind the mountains."
68,run_068,"Time-lapse of a lunar eclipse showing the full moon progressively moving through the Earth's shadow, beginning with an unobstructed view, shifting to partial coverage, and culminating in a nearly complete shadow with only a small crescent of light remaining by the end."
73,run_073,"Time-lapse of mealworms consuming two fish heads over four hours: starting with sparse mealworms around the fish heads, increasing in number, and gradually covering the fish heads. By hour 4, the fish heads are nearly completely covered, with significant consumption evidenced."
78,run_078,"Time-lapse of clouds moving around a tall, steep mountain peak under clear blue skies. The clouds progressively shift and flow around the peak, creating dynamic patterns while maintaining dense coverage at the base, indicating consistent atmospheric conditions. The snowy, alpine landscape emphasizes a cold, high-altitude environment."
83,run_083,"Time-lapse of a sunset over a mountainous landscape with a valley and river. The sun descends from a high position, casting a warm glow, intensifying colors, and transitioning the sky from bright to darker shades. Clouds gather, sunlight filters through, and vibrant orange and purple hues emerge before leaving a warm afterglow as the sun sets."
88,run_088,"Time-lapse of a serene coastal scene showcasing clear ocean water and prominent rock formations. Gradual changes in water patterns and tidal movements are observed. A small boat appears in the distance, moving closer to the rocks and then further towards the shore, nearing its docking point by the end of the video."
93,run_093,"Time-lapse of an airplane being painted in a hangar. The process begins with the airplane partially covered with protective material. Painting progresses with several applications of blue paint, protective materials are repositioned, and detailing is added. Workers are visible throughout, performing tasks and making adjustments. The video concludes with final detailing and removal of protective coverings, revealing a finished painted airplane."
98,run_098,"Time-lapse of a vehicle traveling on a solitary desert dirt road, starting from the initial point and progressing forward. As the vehicle moves, it becomes increasingly smaller in the frame while a dust trail follows it, culminating with the vehicle barely distinguishable far down the road with a faint dust trail."
103,run_103,"Time-lapse of a rainbow's lifecycle from its initial faint appearance through its vivid full arc against dramatic clouds, then gradually fading until it completely disappears, leaving only dense cloud cover."
108,run_108,"Time-lapse of a boat traveling down a river through a lush valley: starting near a bridge, moving steadily downstream, approaching and passing under the bridge, and finally disappearing from view."
113,run_113,"Time-lapse of a metal bolt rusting in water: the bolt starts shiny, becomes submerged, and begins rusting. Over time, one bolt shows increasing rust and discoloration, while the other remains unaffected. Ultimately, the affected bolt is fully covered in a reddish-brown layer of rust."
118,run_118,"Time-lapse capturing the dynamic movement and transformation of cumulus clouds in the sky. Initially fluffy and scattered, the clouds gradually alter in shape and density, form larger masses, overlap, and finally appear heavier and denser by the video's end."
123,run_123,"Time-lapse of a solar eclipse progressing from a fully visible bright sun to complete darkness and back. Initially, the sun's halo becomes more pronounced while light dims, leading up to near-total darkness resembling nighttime at totality, followed by the gradual return of daylight."
128,run_128,"Time-lapse of multiple trains moving through a station: starts with a red train passing, followed by a stationary white train that departs, and concludes with various trains, including a yellow one, then another white ICE train arriving or departing."
133,run_133,"Time-lapse of a cityscape at dawn, showing the progression of the sunrise. The sequence captures the transition from pre-dawn light to a fully risen sun, with increasing brightness and visibility of the city as the sun ascends and illuminates the buildings. The scene evolves from darkness to a fully illuminated early morning cityscape."
138,run_138,"Time-lapse of tides in a coastal estuary rising from low tide to high tide, covering exposed sandy and muddy areas: starting with exposed estuary bed, progressively submerging channels and mudflats, and ending with fully submerged land and visible sea."
143,run_143,"Time-lapse of a rocky valley transitioning from afternoon to dusk: starting with daylight and partly cloudy sky, then softer light and increased cloud cover, gradually dimming into evening, with deepening shadows and a darkening sky as dusk settles in."
148,run_148,"Time-lapse of a storm over a city: dense dark clouds gather, heavy rain begins, then rain dissipates as clouds spread out, the sky clears gradually from left to right, light penetrates indicating diminishing storm, with final stages showing mostly illuminated cityscape and minimal residual clouds, signifying the storm has passed."
